EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
2.077,1.5477,0.2213,0.1161,,1.1603,,1.3676,0.1609,,0.3915,3.0042,,,100,100,100,100,100,100,16.23958664707877,3.3446850197882765,14.196635578192707,-2.4626445900250027,-13.166357940629256,-1.6614089373028371,0.4516293629007118
0.1887,6.2443,9.525,2.3852,6.1911,,3.8713,0.1422,,,1.4089,,3.0929,0.2732,100,100,100,100,100,100,53.974348605686764,-0.5995383623757454,49.323291225483004,-2.3103206190248318,-47.86603151948256,-5.916171464423148,1.6082234116462786
,3.656,0.3561,3.3402,,,0.1902,1.4221,,,,,,,100,100,100,100,100,100,18.39345166729697,3.016189343422598,15.627312964068008,-2.7011446047764256,-14.63345630389064,-1.822311593601637,0.4953683620848789
,,8.7559,0.6539,,,,2.055,,,1.3316,,,0.2101,100,100,100,100,100,100,19.972148432398793,-4.4222998567499,18.24421667384905,-2.37704433405355,-17.602423350862832,-1.7454019699388992,0.4744616222956183
3.1627,0.124,,6.2881,0.7522,0.4358,,7.5922,0.7731,,8.4047,,,,100,100,100,100,100,100,42.913601210663444,-1.2500954996630431,28.29089928355753,-6.358629275146444,-33.82264772896655,-4.289812484316549,1.1661218594385352
7.3894,,0.6404,,,1.8182,,,0.276,5.9206,1.8656,,6.8052,,100,100,100,100,100,100,41.900046297089276,11.80056057807768,34.473628946887466,5.390491401787515,-41.513865279925,-5.545513820467372,1.5074656320078652
4.8903,,1.0671,0.5729,,0.9291,,0.7288,6.7627,0.3179,4.8801,,,,100,100,100,100,100,100,35.54372449274718,2.1303553729950666,32.69491113078532,-5.602726278059193,-28.406737196300533,-3.7798468968413284,1.02749528280135
,5.1806,,,0.184,,1.7326,,0.5814,0.7606,,,4.3737,,100,100,100,100,100,100,28.11024890709743,3.4043354730557485,19.595800486356033,4.136240638709935,-24.258643145362637,-3.1108920082118945,0.8456498241802493
,,,5.9462,0.6913,3.5693,,0.1824,,,6.8216,0.9858,1.3516,,100,100,100,100,100,100,28.27142076169449,-2.736940889652105,15.889762029063288,-1.131471844312308,-23.468595505090633,-2.5870391933817123,0.70324821088474
,4.6762,0.2904,0.1866,8.8998,5.4553,,0.2935,,,0.1115,,,,100,100,100,100,100,100,35.677365141323314,-1.8851804334327655,30.88873199130848,-5.1617356157815655,-28.796626470290974,-3.4823350956894816,0.9466211149834154
0.3491,,2.6235,0.1204,8.8634,,0.6243,1.5021,1.2257,,,3.7562,0.3552,0.4101,100,100,100,100,100,100,24.242704460933105,-9.921675412962282,20.98471427458303,-1.5761147152641628,-20.188169522494707,-1.8192555298273105,0.4945376165023774
,0.4613,1.7903,3.2974,5.5115,2.1164,,,0.3755,0.9306,,,2.8514,0.3627,100,100,100,100,100,100,29.820497668139463,-8.223628645483645,18.57248683936777,2.317699946066449,-24.208840926217405,-2.5284316421664697,0.6873166178722033
1.478,4.5156,,,,0.1783,,0.4732,0.6538,,,4.0337,0.2201,0.3112,100,100,100,100,100,100,18.25838025978952,8.46929504737642,19.42819187111084,-2.5492279658192354,-15.987632726176697,-2.226749577805734,0.6053088258911453
1.2336,0.1915,0.1459,,0.1626,,0.1175,1.1757,9.5392,2.0548,0.1148,0.7746,0.1232,,100,100,100,100,100,100,30.045813638183876,-9.231886993031912,24.43918607427354,-3.2840061198602064,-20.574248652273806,-2.3817680811931106,0.6474483054321095
0.7161,0.4577,,,,0.6643,7.3938,5.0252,,,0.253,,,1.3442,100,100,100,100,100,100,35.82122959069068,-14.0318121062907,19.742782825632645,-2.6851060292531397,-25.034938088999876,-2.718348021165918,0.7389425669845107
,0.1324,3.6462,,,0.9649,,1.603,1.0551,3.8276,,,0.2455,2.0146,100,100,100,100,100,100,21.391764297856643,-3.7438273317198076,18.499980187428918,-0.666204239561218,-19.793829907936473,-2.139839395553436,0.5816835826660096
,,,0.8475,0.1088,,7.6935,0.5704,0.4443,0.1935,,,,,100,100,100,100,100,100,21.915732774889,-10.8003017310165,14.73290236365189,-2.058363573335652,-16.38761953267705,-1.388663086346442,0.3774874510958869
0.8525,0.329,0.1456,0.1137,,,0.4613,0.9059,,,,7.2064,0.1065,,100,100,100,100,100,100,7.851631752041337,-0.3705834215542063,6.175212490028917,-0.5579260458100358,-6.441530387318447,-0.5201008004550591,0.1413816838706785
,0.1799,,,0.2147,,1.2399,,0.5315,0.112,1.5277,,3.9849,4.7823,100,100,100,100,100,100,27.549011346190014,-8.017342765437375,9.190709388036847,9.143749766270036,-22.12477068722302,-2.4343526270581006,0.6617426338266507
7.7956,2.287,2.2528,,0.3499,,0.2728,,2.107,0.1005,,1.8511,0.3905,,100,100,100,100,100,100,31.886090430317786,14.36078562859851,36.60721273106367,-5.336162418525531,-28.250982633945757,-4.126908265300365,1.121838765134525
,6.1451,0.9953,0.3959,1.949,,,0.433,6.059,,0.3771,,,,100,100,100,100,100,100,32.72141169906278,2.0329182412802327,32.06654321036797,-4.989914972385491,-25.162052357151282,-3.366417291834388,0.9151105803230436
,1.2771,,,,,,,4.2123,,,,0.5863,,100,100,100,100,100,100,15.216209473710085,-3.8335399335602847,11.337970858953023,-0.3941041680100976,-10.37858761913326,-1.056967910588826,0.2873210402013823
0.4088,1.1581,1.4636,0.4507,,5.5878,,,,0.773,,,4.2165,9.798,100,100,100,100,100,100,53.98488610046269,-12.497892308286309,21.279250030149583,10.451108138515659,-40.2879972174921,-5.248659072557676,1.4267700743625928
,5.5683,,,1.7312,,3.2132,,0.9998,,0.2362,2.8873,,0.1126,100,100,100,100,100,100,24.297932267566644,3.9767558015441673,25.07398124666773,-3.7905707255563446,-20.92578391152648,-2.633251567654079,0.7158103590002091
3.4916,,,,,,0.8878,,0.3595,8.9319,,4.622,2.0128,,100,100,100,100,100,100,19.2186270748091,9.812314877732094,26.79566313539493,-0.41397812189919164,-25.39944988387459,-2.9951357168849877,0.8141831943036959
1.229,,,,8.9963,,0.2032,,0.1868,,,,,,100,100,100,100,100,100,14.555086159661577,-3.9445610323650437,16.28276907769945,-1.585209683086734,-13.930590774792046,-1.0694525493638298,0.2907148039698378
4.6388,7.0504,8.5723,,2.9159,2.2501,,0.4037,,7.2658,,8.9199,1.804,,100,100,100,100,100,100,53.00056009234796,19.711127860029677,64.11371824307591,-7.296221267954677,-54.39865241044465,-7.356469846395489,1.9997471515468521
0.8007,,,,0.2108,,,1.0277,,0.4771,,,2.0711,9.8969,100,100,100,100,100,100,33.343067024925446,-8.86103555639124,12.054774615803906,9.32534618753189,-25.80905923762455,-3.1801067616502388,0.8644648276973501
4.2408,,,0.2008,0.9012,,7.6034,,,,1.984,8.1121,,,100,100,100,100,100,100,28.646471632266856,-0.47748204916576104,26.591107747972565,-4.303340504601626,-24.823979474591894,-2.9032237958989966,0.7891983026338113
,,0.2616,,1.4255,,5.544,1.2727,,0.4909,,0.131,,1.5505,100,100,100,100,100,100,21.925114465559115,-10.072440117707831,14.257413658309321,-0.718979248562449,-17.114890580717738,-1.5310910562805529,0.4162043809716932
1.6936,,0.8706,,1.0115,0.4348,1.1151,0.2521,,0.5535,,,0.4266,3.8267,100,100,100,100,100,100,21.14190224090964,-2.8346545523527245,14.325130070363358,1.6468695804122155,-17.681240608705,-2.046216440092703,0.5562335716673609
3.7312,,4.0121,,,9.8011,1.7213,0.105,0.7003,,0.869,0.1987,6.1678,1.6094,100,100,100,100,100,100,63.49228765917708,-10.910523713576252,31.632667989228096,4.890150916519848,-46.65133296701678,-6.108801592465978,1.6605870531617073
,,6.3798,0.1249,,,,0.584,0.7676,1.581,,,,0.2708,100,100,100,100,100,100,14.437479631713963,-2.679195372212344,15.983823651188361,-1.6510822070987334,-14.061553102292958,-1.296586721547482,0.35245785781593575
,,8.2393,,1.7836,0.276,0.6734,1.5744,1.6225,3.7052,,1.3906,1.2084,,100,100,100,100,100,100,27.52815599364929,-6.086129404721064,26.92992882935471,-1.5643883859390484,-25.975466371256367,-2.6858857312488946,0.7301181752382352
0.3078,,5.124,1.5704,,0.5891,,3.052,,,,,,,100,100,100,100,100,100,19.624567485310337,-5.746731093638289,13.760484786481873,-2.237080217976521,-14.723962827152569,-1.509233237578884,0.4102626573460463
5.7025,1.3553,,0.2347,8.3096,1.3054,,,0.157,1.2093,0.1225,1.4052,,0.1251,100,100,100,100,100,100,29.67692607091797,7.342201216467591,34.55534060039138,-5.056283541034614,-28.206621656343778,-3.4955904548863153,0.9502243876603975
,0.1928,0.3102,7.9061,9.5282,1.0892,0.5203,,0.5811,,,,2.3368,,100,100,100,100,100,100,35.42383924811817,-12.19870438526754,22.529462413420156,0.7048000115646311,-27.530476207729723,-2.6775279704843853,0.7278462420105941
0.4273,,,2.8662,1.5802,8.193,0.6114,,,,,,0.226,0.1573,100,100,100,100,100,100,31.84621127314932,-9.715574110029834,15.749283051459342,-2.9532936457043397,-20.967421903687978,-2.403483209443337,0.6533512407761789
0.1398,,3.6716,,0.3029,,,9.6612,,,,0.3641,0.501,,100,100,100,100,100,100,29.731879427560383,-13.043502914238141,12.993658616569558,-2.057492982514569,-19.17150721565363,-2.0640692552040094,0.5610865945045795
0.6786,4.0582,0.1905,1.4346,4.6262,,5.4056,,,0.6919,2.4216,,,0.1316,100,100,100,100,100,100,31.713106549689,1.2198801626872813,32.03607435313268,-4.909543544920302,-29.061085750781583,-3.400978352167377,0.9245054916593864
5.7438,6.5175,,,0.9281,,,0.5139,0.261,2.1799,,,,9.6176,100,100,100,100,100,100,51.56511889193901,15.717784351674924,46.81331869110834,-0.5570324124034686,-46.004098283814834,-6.864256942398203,1.8659463784484058
,,0.3329,3.6343,,0.1123,,1.3421,2.4542,3.0517,,0.5125,,,100,100,100,100,100,100,17.51186931579458,-4.129196711937118,14.346107941495747,-2.080872008432172,-14.396633846137073,-1.403848271973918,0.3816153184478018
,0.103,0.377,,,1.4779,,,2.9459,,0.3726,0.1117,0.9828,,100,100,100,100,100,100,15.463491314227396,-5.949438118771979,8.516472363460567,0.5410323835513411,-10.432555182079453,-0.9610763077005794,0.26125433106819584
,4.1718,,6.0439,,5.2885,,3.1602,0.2469,6.2108,1.5628,0.7233,1.4264,0.111,100,100,100,100,100,100,46.95276754713215,1.5444652172933644,35.661566250464794,-4.662064539225203,-39.841885462001905,-5.14474542995304,1.3985226927863115
,0.5257,,4.6034,0.2263,0.1364,1.4387,0.107,3.5103,,2.7935,1.5111,2.6903,,100,100,100,100,100,100,29.469113551610235,-7.447063385350904,16.133468083801148,1.8066411738604937,-21.988214542128883,-2.4111506627272963,0.6554355241599746
0.1844,2.1142,2.9637,,5.9133,4.1251,0.2611,,,,4.287,,0.1091,,100,100,100,100,100,100,29.923979343202493,-1.1925075589439709,27.140615802705444,-4.314499105812073,-26.79625868661701,-3.0579592503944575,0.831260839534197
0.1204,1.7408,,2.2959,,1.0579,6.6597,7.3012,,0.5166,,,4.0505,,100,100,100,100,100,100,51.8768904896055,-17.526720775727647,22.886706291265057,1.8741037610113995,-36.21111698206907,-4.200939552957637,1.1419630719976135
1.4129,,,,,,,2.205,,,2.8749,0.2592,,,100,100,100,100,100,100,11.086934678102212,1.227882820252812,8.724222495442676,-1.532514827630852,-9.994461630819348,-1.0339022697340137,0.28105098804849643
0.2496,,,,4.9232,,6.5842,,0.5501,,,3.6879,6.2229,3.181,100,100,100,100,100,100,44.85755537253907,-18.181116343907007,19.889253395691807,10.239650065805376,-35.17122446751364,-3.6344095625957062,0.9879603018989556
,1.2355,,,0.936,,,,,1.5847,5.5288,,7.1189,,100,100,100,100,100,100,25.7536406935639,0.5482184861441353,11.690786828183457,9.964169770625773,-25.637197693971117,-2.88317993045755,0.7837496752813649
4.0252,,0.4209,,0.1882,,,,,1.0499,5.2825,8.0311,0.1737,1.9564,100,100,100,100,100,100,18.60110458407874,9.510044104601729,20.43868455394721,-1.6048584014742024,-20.39849273366349,-2.6369537964904706,0.716816754965193
0.2176,3.0476,,,5.573,,,,0.3196,0.128,,,2.267,,100,100,100,100,100,100,20.307087804621183,0.2368272147971484,17.30276115673828,1.548543828671695,-18.349012841359627,-2.0141207485081782,0.5475088342371446
2.5779,0.8661,9.1724,0.6375,,,,7.3279,,7.3745,,,3.8559,0.9003,100,100,100,100,100,100,50.95940478501015,-2.4067059848275982,41.136844294687364,0.030220773383053828,-46.48962893152356,-5.789715212543223,1.5738481562897815
,1.463,2.4568,,5.3088,0.1839,9.7937,,9.0194,5.333,0.2925,,1.8166,0.5007,100,100,100,100,100,100,61.47013154011441,-20.081697848567078,52.17842888168469,-4.105781541940858,-49.94360827305203,-5.558853522655841,1.5110918320754205
,,0.3162,9.2359,0.6765,3.7164,0.6989,1.5514,,0.2463,0.1402,4.3703,,2.1198,100,100,100,100,100,100,36.51264837062794,-11.10430250178701,17.603865314595193,-2.0383806479688835,-24.65233293505047,-2.8052925377206455,0.7625771434802099
,,1.3852,1.2813,0.1625,0.3305,,0.1008,5.2985,,,0.9066,0.566,,100,100,100,100,100,100,19.972677934852676,-8.617805234884923,13.30258093520185,-0.7171664653648846,-12.927168561575032,-1.2475294667212826,0.3391223711423278
,,0.14,2.6424,0.2944,,,3.0765,6.8499,3.1532,0.1645,,,,100,100,100,100,100,100,29.532936807409673,-10.794249513144935,21.44755401012392,-3.298685899039063,-20.821401029849696,-2.2254393736786566,0.6049526663437242
,,3.5186,5.6873,1.1747,,2.2038,,4.2672,,,,0.1157,,100,100,100,100,100,100,30.58038053961063,-11.369080486061474,22.499697773276306,-3.080759976351149,-21.607537994742014,-2.23452958205012,0.6074237045831774
,,5.1887,0.4911,0.1566,,,,,,2.5867,,,,100,100,100,100,100,100,11.119408410078622,-0.4595103548584385,12.5808216170113,-1.4615704814071817,-11.857326948525866,-0.9860400766491773,0.26804036117355884
,2.7281,,,2.617,,,4.8824,2.2286,9.7178,0.4259,,,6.786,100,100,100,100,100,100,44.043667828263,-2.02407320170036,38.50422982076217,-0.9302629334879756,-41.834419519613235,-5.2057321840930015,1.415101036804574
,,,,,0.1063,1.0557,5.2395,,0.3118,0.2176,,,5.1037,100,100,100,100,100,100,27.847691180052973,-11.488864806473055,10.388613261993562,1.9718641523796712,-19.178780869123933,-2.1128749509684894,0.5743536985806074
,0.2447,3.229,2.0392,4.5671,0.7779,,0.7842,,,,1.5291,2.5227,,100,100,100,100,100,100,23.9530476302678,-7.590249190190936,15.00342611276892,2.2144424757863037,-19.509779394912847,-1.9098891293142575,0.5191750154441197
,,,8.6942,,,0.2629,0.3325,2.9473,,0.1705,5.0799,,2.5072,100,100,100,100,100,100,28.72532559956324,-9.289827978222336,15.31904258238665,-0.6199161116824321,-19.135615964748816,-2.1096908084005013,0.5734881366788499
,,6.8438,7.5184,1.7818,,,0.2421,4.1356,,0.1959,0.1374,,5.9558,100,100,100,100,100,100,47.05561999872794,-14.525744960686229,31.098278214499498,-0.10187889722683549,-34.754423869567866,-4.086778051501654,1.110929962079452
0.3979,,0.2474,,0.1839,,,,0.2985,,,1.5918,1.9301,,100,100,100,100,100,100,8.527375818993058,-2.1476238483627434,3.433871842870747,3.115162638103306,-7.105863360423374,-0.5026351495028901,0.13663390586427004
,,5.0969,0.1493,2.8221,0.6679,0.2537,0.1395,0.5258,,,,1.4177,,100,100,100,100,100,100,18.51389849699547,-6.076738543777637,14.62251987046039,0.6605968061570625,-15.809247783160039,-1.4672184032405322,0.39884154816661865
,5.8743,7.1141,3.0418,,8.5441,0.258,,0.2106,1.2398,,,,,100,100,100,100,100,100,50.652357553992765,1.1084742352199586,41.929571085350574,-7.961679010459008,-39.7995262482431,-5.371300721789819,1.4601083866011977
,,8.0191,,,5.7782,1.5662,2.9913,,,0.476,0.3267,,0.1257,100,100,100,100,100,100,37.4214378948644,-12.284417798427434,24.11367953739356,-4.402212210804328,-27.0839821534268,-3.0547297993482383,0.8303829611950434
1.3738,,,,,4.2035,,0.4827,,,3.3446,0.505,6.5932,0.9508,100,100,100,100,100,100,36.09172151813861,-5.8366713551446905,11.80096742743991,9.074813780923883,-28.232496857803753,-3.4153095994929887,0.9284012285570935
0.6364,0.1266,,,,0.5176,,,0.7956,,2.2259,0.6167,,3.1472,100,100,100,100,100,100,14.716433405288651,-1.4636083822323795,9.299167932729643,1.120152420071622,-12.512809764745223,-1.3675359324168392,0.37174434784484633
2.5975,1.1223,8.2086,0.7148,0.8917,2.6931,,6.2504,,,,,8.6009,,100,100,100,100,100,100,62.76509639227008,-12.105488364111292,30.270703556799845,8.286387289722118,-47.273504932038215,-6.014731649299279,1.6350155351888704
2.5219,,7.541,,,5.1752,2.9946,,,,0.9654,,0.1891,,100,100,100,100,100,100,36.88816778745539,-4.650653927608861,30.09618579591639,-4.951775020116397,-29.473759079863584,-3.595836837313354,0.9774748789826135
0.8849,,,,0.6127,,0.1501,0.4786,5.1179,3.5776,0.231,4.9556,5.4866,,100,100,100,100,100,100,31.391063021919386,-7.438405852820563,17.963277799871257,6.721675720551333,-25.767906915062248,-2.8682662791241094,0.7796956204974825
0.7427,2.157,2.7447,1.3167,,5.1984,,0.4407,,,,,,8.0582,100,100,100,100,100,100,45.315888765471065,-6.796791123012297,25.55910228209768,1.3552222251027626,-33.568176682585445,-4.522125209161261,1.2292726259714712
0.2331,,0.1749,0.2234,2.6519,0.1771,,6.262,,0.4537,2.7686,,1.4634,2.5993,100,100,100,100,100,100,30.987544062541986,-10.100181781311266,13.817829932542784,1.733164335849155,-23.439217690526725,-2.558882120692464,0.6955941285487905
0.7506,,0.7456,,,0.3577,2.0731,,,1.3072,7.3407,,0.4943,,100,100,100,100,100,100,15.123651127325612,3.522442633404555,15.833694728460834,-1.7617865120353196,-17.876665518727453,-1.855532361690204,0.504398934865632
,0.9333,3.0292,8.8089,1.0865,0.9268,,0.1482,,,0.2973,0.1057,1.6919,1.2754,100,100,100,100,100,100,32.009028725753566,-5.955080467592143,18.89024030710334,0.5671210874220576,-24.326978147916325,-2.760697384041267,0.7504546127820436
0.1722,4.8751,4.6594,,0.1183,0.1231,0.7513,,,,,,,0.1275,100,100,100,100,100,100,20.457465291244787,6.558365687340682,24.04907883126795,-3.4986026729776496,-19.126160768755515,-2.446329207578276,0.6649982894985424
,,,,,5.459,0.6434,9.6946,5.8832,,0.2902,,,1.7157,100,100,100,100,100,100,55.95372987905199,-25.398031847206074,23.457261919541104,-4.099650896488239,-32.649512014573205,-3.9232928665843474,1.0664889408172389
,,,,1.6624,6.6927,7.0678,,,0.3663,0.936,0.1296,,0.4326,100,100,100,100,100,100,37.19239215792066,-14.665106930664349,21.826509352051684,-3.7490107182688583,-26.697209090250727,-2.821099499210572,0.7668740313726632
5.0339,,,3.1071,0.105,0.614,0.1176,,0.4917,,2.4538,,,,100,100,100,100,100,100,21.296450467872145,7.942178232296289,21.29094565208646,-3.6970522844000597,-19.02145324332789,-2.4941949527990017,0.6780098819689079
0.8878,0.2334,0.3999,1.711,,2.2532,6.5713,3.2576,3.3174,,,0.2829,,,100,100,100,100,100,100,41.372497387226566,-16.157556156965978,24.834486195312188,-4.553697931570094,-27.437674569832165,-3.072125986808045,0.8351118565819562
,0.4323,,0.5811,,0.4014,,,,,,0.1041,,,100,100,100,100,100,100,4.676121139087242,-0.5976407397419871,3.5777359424483395,-0.21372455106355429,-3.938857363873669,-0.14418803293675042,0.03919537688225394
0.9467,,,,,,0.7772,4.2279,,,,,,0.1579,100,100,100,100,100,100,15.1865133504525,-4.997665279695385,7.572594777999208,-1.290472061957976,-10.183980211362563,-0.977135839261447,0.2656198763860725
,6.8714,0.1242,0.4175,,0.6284,,,,0.3052,,8.1116,0.2553,,100,100,100,100,100,100,19.180771876944856,11.220400538085217,21.958747635650184,-3.1670500764741445,-17.741438299074446,-2.4811053653766004,0.6744516718885966
,,,,,0.4492,,0.2739,0.6131,,3.2538,,1.646,0.7747,100,100,100,100,100,100,12.45450380529666,-1.880475055733196,5.9534365183584415,2.535424114850529,-11.210193437995212,-1.0330664243506624,0.2808237758856853
,,0.6897,,,5.8707,1.0216,0.2011,2.5246,,2.1354,,1.569,0.6629,100,100,100,100,100,100,32.32866458737342,-10.477326147565192,15.658000739451007,0.01922993107893036,-22.371426741371433,-2.5512818519915954,0.6935281082968493
,,,,2.721,,,,,0.7711,7.5466,,,,100,100,100,100,100,100,9.602840035450571,3.1593133058913847,12.509261782481254,-1.598413379579494,-13.808345209282024,-1.0783603468784957,0.2931362565249951
,,,,5.6951,,4.4971,0.1286,0.6829,,,0.2559,1.3043,,100,100,100,100,100,100,22.25746101568584,-10.959858582901367,15.798258827187032,0.4445936869812798,-18.08644945126373,-1.459934350004009,0.3968614863957455
,0.3232,0.1273,4.3761,,0.4555,0.5646,0.2528,0.1414,0.8193,0.1033,0.1045,0.7952,,100,100,100,100,100,100,14.748563431838411,-2.9665819375328195,8.846303267044592,-0.028537424278216764,-11.558617107709878,-1.092206774994919,0.2969002025158113
,3.5397,,0.8619,,,,,0.719,1.6285,,0.1133,,0.1857,100,100,100,100,100,100,12.95427197936018,5.781154514552384,15.699816927805065,-2.111884445511061,-12.85283924435146,-1.5500520649393819,0.4213586497782862
,0.3353,0.1302,,7.2778,7.7758,0.9437,,6.0378,0.1262,,1.2434,,,100,100,100,100,100,100,45.46480130629573,-18.750448109041074,29.65676587431679,-4.939636581805659,-30.258251964264932,-3.3324972662647654,0.9058899247736318
,,,0.4295,8.5727,,1.0493,0.7571,,0.1493,,,0.4041,0.3293,100,100,100,100,100,100,17.07743260997991,-8.167024992214818,14.510668455778069,-0.4702809153764287,-15.022651683434525,-1.0846801007547038,0.2948541878257825
,2.4312,,0.1068,,0.3275,,1.1887,0.3759,0.2103,8.3463,9.7914,2.9263,0.7941,100,100,100,100,100,100,24.40267716964179,4.749961886876808,16.570557144156542,2.275282691088642,-24.053601401076573,-2.949151418407475,0.8016830452082156
,0.3494,0.1613,,5.0547,,,,0.1848,2.1677,0.3898,,0.1517,,100,100,100,100,100,100,9.816818244689747,-1.417644475766394,12.96830429557346,-0.9120240978335536,-11.66107461948703,-0.8199788418244358,0.22289907897475672
,0.281,1.388,0.1043,1.9797,8.5889,,,,1.021,0.7781,0.3324,,1.0524,100,100,100,100,100,100,31.49686587308125,-8.410308649035036,18.339817115203356,-2.8467302033171373,-22.912974186598174,-2.6305256526817002,0.7150693594698392
,,0.1774,2.4002,1.4536,,,,1.0664,1.582,1.261,0.4426,2.7311,4.7304,100,100,100,100,100,100,28.04824728458813,-7.0157728854986425,13.619240544452222,6.36769535344203,-23.452542864494657,-2.5804498098761828,0.7014569847707557
0.6641,,0.4159,,0.2424,,,0.438,8.9086,0.7752,,9.2615,1.4226,0.9595,100,100,100,100,100,100,30.535264645863627,-11.845970935508324,19.794578823200762,0.46948670773378437,-20.065684348183716,-2.250082368372164,0.6116514987283995
2.368,,,0.6178,4.2617,0.4162,,0.6836,,,,0.3602,,,100,100,100,100,100,100,14.521713711615089,-0.06561326044809454,14.251125416779177,-1.9064377115368265,-12.708811716620273,-1.2861671818937985,0.34962546059580857
0.3043,8.9725,,0.6051,8.1158,,3.9836,0.6642,0.5412,,0.2722,,2.559,0.2674,100,100,100,100,100,100,47.718190513402455,4.201631632835839,43.561931437940316,-2.484825659398178,-41.272699102598786,-5.30960224714424,1.4433365719260167
2.5301,0.1046,,,,,0.4223,,,,0.1324,,,,100,100,100,100,100,100,8.239785788272272,3.6441177706115138,9.44747660224249,-1.2201435822328244,-7.836141540286025,-0.8231628146933585,0.22376459474633703
2.8447,9.4349,6.7639,,2.4313,,,1.6572,2.1117,,,,,0.282,100,100,100,100,100,100,46.961373328359706,14.925013630038645,52.67207273447403,-8.476733595307774,-41.19445089776709,-5.909028990070963,1.6062818359939453
2.6848,,,0.7917,,,0.7749,,0.3916,0.1133,,,,,100,100,100,100,100,100,11.069116276161544,2.676809029389849,11.330921778339368,-1.5769924444395278,-9.67316310622749,-1.0639088368103806,0.2892078279855351
4.6628,,0.169,,1.9401,3.5625,1.9625,4.1297,,1.4279,3.4319,,0.8255,0.1631,100,100,100,100,100,100,40.320719515985374,-0.351044420595831,29.967239311728736,-4.450002589400551,-32.96870753615739,-4.226040602191129,1.1487864197110755
0.1617,,0.1635,0.2122,,,,1.1386,0.1954,,,,0.86,5.6788,100,100,100,100,100,100,20.603051257755627,-6.91787318632324,7.322697233904562,4.897082864924385,-15.36313840933631,-1.6877690039617512,0.45879495581638974
0.8088,0.2194,1.3943,,,8.6892,,,5.2049,,1.0328,4.3882,,7.3231,100,100,100,100,100,100,56.27797715345741,-16.9499720729014,28.8089659726078,0.01680251042455904,-37.689649518536235,-4.929151367169374,1.3399166464156842
,,,,2.3009,,1.0677,,0.1526,5.7365,0.1105,0.4961,1.1978,,100,100,100,100,100,100,11.811104880569289,0.10095844358026157,15.362265445196206,0.4281181913681691,-15.900360345842307,-1.3273502291325168,0.36082046079662394
,0.3551,,,3.7029,,,4.4676,,5.2079,,7.83,,0.8458,100,100,100,100,100,100,19.73648796197052,-3.810703689702369,18.13735748952446,-2.013521190468141,-19.447656075911954,-1.9290245127962107,0.5243766854585064
,0.1903,,0.411,,,0.4854,0.1603,0.1056,0.1301,2.1571,,,,100,100,100,100,100,100,5.668479608353651,0.10671612967596641,5.209618233229606,-0.5491714751693493,-6.04659453968374,-0.3704953612282614,0.10071366548733673
7.5045,,0.3225,0.5057,,1.8285,,,2.2046,0.7804,,0.1881,,0.4654,100,100,100,100,100,100,29.169789940584963,9.119980571062854,29.531664883349183,-4.684364736684521,-24.33968932950791,-3.4742590113045266,0.9444257512992453
,0.7612,4.7512,0.3317,,,,,,,,,8.5727,,100,100,100,100,100,100,30.422280988864784,-7.022796425529619,9.894064749476573,13.012171191880757,-25.093755830218466,-2.788458923200595,0.7580011751979229
3.5792,1.6014,0.4412,,,0.4541,,0.486,1.0609,,0.1428,,,1.7358,100,100,100,100,100,100,21.486458940173325,5.445856734385041,19.925422345754306,-1.8959541894942604,-17.91895618590501,-2.450141970527534,0.6660347325216881
,,0.2629,,,,,8.0886,,3.7832,,0.1164,,,100,100,100,100,100,100,21.37157243770074,-7.324502089043198,12.287725050989584,-2.477843085187708,-16.54082135370985,-1.6716625142092174,0.45441664561100836
,6.6568,0.9701,4.6279,0.503,,7.1784,,0.3212,,6.1681,,1.4056,,100,100,100,100,100,100,46.47820480088317,4.66637292463449,40.511368863306274,-4.956939591398159,-40.98810762849184,-5.240730471478149,1.4246148018262468
0.161,,,6.5158,2.0565,0.2175,,,,6.1892,,,,,100,100,100,100,100,100,17.458490324681833,0.7191565587733862,20.228864410261583,-2.643889447840451,-19.611734171760688,-1.783684732939179,0.4848682232688641
,,0.1491,,,4.7867,2.9328,0.2976,0.1638,1.2302,0.703,0.803,1.063,1.0705,100,100,100,100,100,100,27.209262705138194,-8.860247049501853,14.171927269076878,-0.04301036931589219,-20.322873294566357,-2.185516944616058,0.5941003464854555
0.4825,,1.0496,,,,0.7072,,,,0.2327,0.1911,,,100,100,100,100,100,100,5.772482741241318,-0.7832706886137143,5.6756069982633655,-0.4568634491090309,-5.4383687752944745,-0.30822028503473764,0.08378511023859872
,,,,3.6425,0.583,,,,,,6.6129,,,100,100,100,100,100,100,7.1851947908858795,-3.387367772794842,6.535251400848651,-0.3862985946412923,-6.520291951011905,-0.26061411386937644,0.07084407912288955
