EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
2.979,2.3772,2.5803,,,8.6557,,4.7198,,1.2355,,,0.1293,,100,100,100,100,100,100,49.12802080578346,-3.1804558473996356,32.81469832249337,-6.920134649815509,-35.40133898201369,-4.843091834704414,1.3165226397108856
4.2228,0.1469,0.5656,0.5512,7.8433,,,,,,3.2119,9.4033,9.3757,0.5605,100,100,100,100,100,100,45.635287941178554,-2.5647385144116903,25.37461614484855,12.171678174047022,-40.48367158756495,-4.817109380709643,1.309459695193841
4.4216,3.4229,,1.3898,3.0791,,,3.0335,2.3019,,,,0.6316,0.2985,100,100,100,100,100,100,36.9944653530689,4.868676964609435,32.68511500615967,-4.382715576900421,-29.238783257915106,-4.010365607163964,1.09015837311114
,,6.8902,0.215,,,7.0678,,,0.1415,,0.3206,0.1221,2.4594,100,100,100,100,100,100,31.56500278449495,-11.690809149392496,24.48134010015635,-1.2957517701990444,-25.926412170218438,-2.6981395534461923,0.7334491949455415
,0.5978,,0.2876,,,,0.1635,0.4692,,1.9665,,0.2185,,100,100,100,100,100,100,6.4704993182663895,0.6193016807598698,5.678716624514003,-0.27227219366138433,-6.4176197732451294,-0.4785063854940858,0.13007485945961422
,6.6352,4.4165,,,,2.8277,,,7.936,,1.6859,,0.6863,100,100,100,100,100,100,31.053443433868832,13.360482310549447,43.796591746080566,-6.056302569439912,-35.80288012134507,-4.548857847747681,1.236539497036369
5.3635,,4.7496,0.5778,,0.1296,,4.2248,0.3522,8.7062,,4.8332,0.8657,0.6755,100,100,100,100,100,100,36.32597604607564,8.532868842234754,41.015898727749246,-4.75727156644755,-37.74713188014804,-4.833266934692351,1.3138518864523834
0.2597,0.1241,0.4126,0.3544,4.5998,,0.8962,0.2571,0.3446,0.1108,3.2659,0.9916,5.7074,0.3183,100,100,100,100,100,100,27.8947640125835,-6.8465493083723645,13.064120633624782,8.04513414101153,-24.61674328752916,-2.4880648484193406,0.6763435040691946
,0.6088,1.513,0.5025,,0.1874,1.0665,0.7498,,0.1069,,,6.4316,0.4972,100,100,100,100,100,100,26.787576325905178,-7.637833907430421,7.607563109789195,10.03254308726007,-21.002805724229226,-2.2451194294484202,0.6103023974361675
,1.4431,,0.4821,,0.4953,,1.7443,1.1872,,0.1357,,0.1235,0.262,100,100,100,100,100,100,14.220263674516083,-2.3152538017598903,9.280315054698546,-1.0652571201278032,-10.09374044671023,-1.0620634660750756,0.2887061913379922
0.1505,0.2424,0.226,,0.2177,,0.1207,,0.2211,,,,0.3607,,100,100,100,100,100,100,4.819023904557296,-0.989613149309012,3.7070846351242674,0.48787912365663677,-4.307712922100472,-0.1575435093537874,0.04282586493973065
,,0.2622,4.0964,0.2339,3.137,,0.3579,,,,,,,100,100,100,100,100,100,17.55438873323561,-5.404424660471743,8.711564362510758,-1.6792980384536167,-11.655244781090609,-1.132928714432829,0.3079698574041991
4.8852,,5.4254,0.1151,,,,,,,2.3677,,3.1567,0.5108,100,100,100,100,100,100,28.64780206117188,6.148537472310153,24.949212358444882,1.6530000234789275,-26.843956760985556,-3.4887201719535166,0.9483568032058872
,0.9103,0.887,0.4851,,1.4737,,0.5131,,,2.9761,1.9845,,,100,100,100,100,100,100,12.007948802760142,0.75554705423813,9.764798356194447,-1.6584685910942094,-10.915021099898485,-1.1188762481767698,0.30414990300289907
,0.1598,,0.2022,,0.3104,0.2982,,,,0.5155,,9.3979,1.6276,100,100,100,100,100,100,30.685022131758487,-9.430838062367231,3.2131167966882512,16.60710272514839,-24.060292642421647,-2.574642896309512,0.6998784614971407
0.6248,8.6884,,0.3279,,4.3067,,,,,,,5.3829,,100,100,100,100,100,100,45.084189892626355,8.68283325783769,30.30344362260607,3.0487198370718893,-36.28591831538874,-5.206283523210772,1.4152509101614053
1.0357,,,,,1.6643,0.3054,,,,,0.3778,0.1697,,100,100,100,100,100,100,9.238661050262937,-0.8060454246401786,6.356624531257511,-0.6045798678226384,-7.136668898489581,-0.6368505611354104,0.17311837364705082
,,,,0.8838,,0.1712,1.6301,0.1895,0.1499,,2.3396,0.1013,,100,100,100,100,100,100,7.5322743303295665,-3.6515719722811704,4.271722701471891,-0.18241987784373248,-5.644692603368161,-0.25975143497354675,0.07060957266793806
,,0.2131,3.8952,,3.0356,1.4091,4.2574,0.1903,4.8268,0.2531,,,0.2125,100,100,100,100,100,100,30.90708580844673,-7.5895454610435635,20.57667477572362,-3.791082362413831,-24.769898226069483,-2.7009936980288742,0.7342250517924429
6.2972,,0.5858,,3.1277,1.2221,6.5005,1.7721,,,0.2914,,1.0126,,100,100,100,100,100,100,41.69743615082736,-1.6560648267696898,34.54889831512842,-4.246345034525943,-33.76269622740902,-4.231061604773818,1.1501513047472753
3.607,3.1975,,,,,,,2.5939,,1.4006,,,9.8943,100,100,100,100,100,100,44.116883063961595,3.004233378457098,31.895007479815664,2.288477582948601,-35.66355029981233,-5.131224128082256,1.3948471275402345
,,0.6575,,,,0.9391,,3.4976,,,1.2015,,0.1058,100,100,100,100,100,100,12.753756926024092,-6.209689104488123,9.388328695080261,-0.8545046486065451,-8.530103602180558,-0.6478639801255978,0.17611220815114165
6.6635,1.5344,,,,0.1601,2.8326,0.1591,0.1898,,,0.3251,,,100,100,100,100,100,100,25.763609445879403,10.73459155492615,28.427742686293335,-4.734582940712924,-22.83448547695367,-3.1941590126174573,0.8682847235755805
0.4616,0.2143,6.6278,4.7313,,0.176,0.2359,,0.2964,0.4197,0.1616,4.796,,,100,100,100,100,100,100,21.149129819963616,-2.803387941358226,19.574481562733798,-2.710719002660112,-18.11890449738157,-1.8287709057888977,0.4971242302413647
,0.8025,0.4942,,,6.9137,1.1879,2.9854,,,0.4928,,,,100,100,100,100,100,100,31.031203913569303,-9.698672124782908,14.754736458645628,-3.525435772581436,-20.03709273826828,-2.378414865132649,0.6465367834106217
0.2755,3.6391,,,1.0724,,,,,0.2663,,,8.9348,0.3591,100,100,100,100,100,100,33.21943958302616,-1.0805543146129426,12.709977620445672,13.178296610504514,-27.768005516382285,-3.407225452783375,0.9262036732496108
,0.2406,1.348,,3.5568,,,,0.8793,,0.2572,0.1353,,0.1183,100,100,100,100,100,100,10.050355320346714,-3.518314195019531,10.162448943367613,-0.8009251424425398,-9.045611653390688,-0.620149928752812,0.1685785545852662
,,,0.1124,0.3479,,0.2053,0.558,1.9409,7.8024,0.6569,,,,100,100,100,100,100,100,11.558068639891792,2.243982193459599,18.9318318587371,-2.205225995239115,-16.56361769852296,-1.4877429703429799,0.4044208471315862
,2.0207,,0.2995,0.1581,3.9795,,,,2.7831,0.3064,0.2276,,5.1451,100,100,100,100,100,100,29.163887004709935,-1.747796329839398,19.55662032150543,0.5352268587910471,-24.42100394673024,-3.1100242672691714,0.8454139416829805
6.6259,0.4696,2.558,,,,0.5323,4.469,1.7763,1.9313,0.176,,5.6609,,100,100,100,100,100,100,48.4311037154151,1.5294029436563414,32.650964971784624,3.4485648867811585,-39.439224241678275,-5.311632557768211,1.4438884817376116
0.1906,,,,,,,0.9438,,6.1532,5.4568,,,,100,100,100,100,100,100,9.989755781262197,6.66757681681287,17.362002341800164,-2.325506886675836,-17.43450294387847,-1.568889778465074,0.4264794026327461
,,,6.3262,1.1464,2.3247,0.1839,0.9912,,2.4124,4.4174,0.6973,4.2669,,100,100,100,100,100,100,34.66835572535575,-5.130610258383385,17.629256873602593,3.674830648898962,-29.554859410286817,-3.278075585368128,0.8910961984853721
0.974,,,2.9132,,,,0.3173,,,1.8458,,,,100,100,100,100,100,100,10.03816030133728,0.9332933570319611,8.117582457367378,-1.2180710796223304,-8.928905464345023,-0.8217646127873117,0.22338451430867284
,,,6.7768,,,0.1369,1.6627,0.7488,,4.7223,2.7737,,7.918,100,100,100,100,100,100,38.19522481365073,-8.211549072666058,18.45166390513005,2.617951540549992,-29.605311120874514,-3.57564705615073,0.9719865866068839
,,0.1634,2.8601,,,0.1413,,1.562,0.9834,3.482,0.4661,,,100,100,100,100,100,100,12.450976083239736,-0.6021273579158546,10.987291333189773,-1.5841859034275332,-11.77679775963488,-1.06876186233474,0.29052705095135206
0.1024,2.405,,8.3984,3.8021,4.1197,,,,,,0.1608,0.4258,,100,100,100,100,100,100,35.182313357354055,-4.609682795373687,23.32479178434215,-3.682927061484876,-25.689105138497197,-3.0591924701226016,0.8315960720152726
,0.1199,,9.4479,,7.0876,,,2.5772,0.2297,7.7289,,,0.277,100,100,100,100,100,100,45.57641487987788,-7.395302716225962,27.01751954059201,-5.685796438133779,-33.879085683478515,-4.022766148944137,1.0935292763596274
0.1288,1.3224,,0.8134,,1.1088,,,,,1.9458,1.9968,,0.5363,100,100,100,100,100,100,11.067613965829608,1.645822139217232,9.051805123901095,-1.0265339501856245,-9.925512672950791,-1.0543568905054044,0.2866112731414365
0.8392,0.7139,,9.5649,,5.6667,,,,,,0.6839,1.0973,2.9903,100,100,100,100,100,100,43.33347634178112,-8.591222677823827,20.60041816260171,-0.3826853331187757,-29.660089611363965,-3.756139261470089,1.0210507139669114
,,,,,,,,,,1.7989,,,,100,100,100,100,100,100,2.8835371302072086,0.33669239388664574,3.0058004439673214,-0.09152125051770377,-3.763582839251458,-0.061744282621671955,0.01678426689365168
